ticker,forecast_return,risk_score
EG,0.0027472376823425293,0.33808284997940063
EIX,0.0027472376823425293,0.33808284997940063
EL,0.0027472376823425293,0.33808284997940063
ELV,0.0027472376823425293,0.33808284997940063
EME,0.0027472376823425293,0.33808284997940063
EMN,0.0027472469955682755,0.33808284997940063
EMR,0.0027472376823425293,0.33808284997940063
ENPH,0.0027472469955682755,0.33808284997940063
EOG,0.0027472469955682755,0.33808284997940063
EPAM,0.0027472469955682755,0.33808284997940063
EQIX,0.0027472376823425293,0.33808284997940063
EQR,0.0027472376823425293,0.33808284997940063
EQT,0.0027472451329231262,0.33808284997940063
ERIE,0.0027472376823425293,0.33808284997940063
ES,0.0027472376823425293,0.33808284997940063
ESS,0.0027472376823425293,0.33808284997940063
ETN,0.0027472376823425293,0.33808284997940063
ETR,0.0027472376823425293,0.33808284997940063
ETSY,0.0027472376823425293,0.33808284997940063
EVRG,0.0027472376823425293,0.33808284997940063
EW,0.0027472376823425293,0.33808284997940063
EXC,0.0027472376823425293,0.33808284997940063
EXE,0.0027472469955682755,0.33808284997940063
EXPD,0.0027472376823425293,0.33808284997940063
EXPE,0.0027472376823425293,0.33808284997940063
EXR,0.0027472376823425293,0.33808284997940063
F,0.0027472376823425293,0.33808284997940063
FANG,0.0027472469955682755,0.33808284997940063
FAST,0.0027472376823425293,0.33808284997940063
FCX,0.0027472469955682755,0.33808284997940063
FDS,0.0027472376823425293,0.33808284997940063
FDX,0.0027472376823425293,0.33808284997940063
FE,0.0027472376823425293,0.33808284997940063
FFIV,0.0027472469955682755,0.33808284997940063
FI,0.0027472469955682755,0.33808284997940063
FICO,0.0027472469955682755,0.33808284997940063
FIS,0.0027472469955682755,0.33808284997940063
FISV,0.0027472376823425293,0.33808284997940063
FITB,0.0027472376823425293,0.33808284997940063
FLT,0.0027472376823425293,0.33808284997940063
FMC,0.0027472469955682755,0.33808284997940063
FOX,0.0027472376823425293,0.33808284997940063
FOXA,0.0027472376823425293,0.33808284997940063
FRT,0.0027472376823425293,0.33808284997940063
FSLR,0.0027472469955682755,0.33808284997940063
FTNT,0.0027472469955682755,0.33808284997940063
FTV,0.0027472469955682755,0.33808284997940063
GBLTF,0.0027472376823425293,0.33808284997940063
GC=F,0.0029914602637290955,0.3719990849494934
GD,0.0027472376823425293,0.33808284997940063
GDDY,0.0027472469955682755,0.33808284997940063
GE,0.0027472376823425293,0.33808284997940063
GEHC,0.0027472376823425293,0.33808284997940063
GEN,0.0027472469955682755,0.33808284997940063
GEV,0.0027472376823425293,0.33808284997940063
GILD,0.0027472376823425293,0.33808284997940063
GIS,0.0027472376823425293,0.33808284997940063
GL,0.0027472376823425293,0.33808284997940063
GLW,0.0027472469955682755,0.33808284997940063
GM,0.0027472376823425293,0.33808284997940063
GNRC,0.0027472376823425293,0.33808284997940063
GOOG,0.0027472376823425293,0.33808284997940063
GOOGL,0.0027472376823425293,0.33808284997940063
GPC,0.0027472376823425293,0.33808284997940063
GPN,0.0027472376823425293,0.33808284997940063
GRMN,0.0027472469955682755,0.33808284997940063
GS,0.0027472376823425293,0.33808284997940063
GWW,0.0027472376823425293,0.33808284997940063
HAL,0.0027472469955682755,0.33808284997940063
HAS,0.0027472376823425293,0.33808284997940063
HBAN,0.0027472376823425293,0.33808284997940063
HCA,0.0027472376823425293,0.33808284997940063
HD,0.0027472376823425293,0.33808284997940063
HES,0.0027472376823425293,0.33808284997940063
HIG,0.0027472376823425293,0.33808284997940063
HII,0.0027472376823425293,0.33808284997940063
HLT,0.0027472376823425293,0.33808284997940063
HOLX,0.0027472376823425293,0.33808284997940063
HON,0.0027472376823425293,0.33808284997940063
HOOD,0.0027472376823425293,0.33808284997940063
HPE,0.0027472469955682755,0.33808284997940063
HPQ,0.0027472469955682755,0.33808284997940063
HRL,0.0027472376823425293,0.33808284997940063
HSIC,0.0027472376823425293,0.33808284997940063
HST,0.0027472376823425293,0.33808284997940063
HSY,0.0027472376823425293,0.33808284997940063
HUBB,0.0027472376823425293,0.33808284997940063
HUM,0.0027472376823425293,0.33808284997940063
HWM,0.0027472376823425293,0.33808284997940063
I:DJI,0.0027472376823425293,0.33808284997940063
I:NDX,0.0027472376823425293,0.33808284997940063
I:RUT,0.0027472376823425293,0.33808284997940063
I:SPX,0.0027472376823425293,0.33808284997940063
I:VIX,0.0027472376823425293,0.33808284997940063
IBKR,0.0027472376823425293,0.33808284997940063
IBM,0.0027472469955682755,0.33808284997940063
ICE,0.0027472376823425293,0.33808284997940063
IDXX,0.0027472376823425293,0.33808284997940063
IEX,0.0027472376823425293,0.33808284997940063
IFF,0.0027472469955682755,0.33808284997940063
ILMN,0.0027472376823425293,0.33808284997940063
INCY,0.0027472376823425293,0.33808284997940063
INTC,0.0027472469955682755,0.33808284997940063
INTU,0.0027472469955682755,0.33808284997940063
INVH,0.0027472376823425293,0.33808284997940063
